30/07 20:49:25.0  NOTE   12256 Protocols.h[132]             HTTP server started on 0.0.0.0:80 (TCP)
30/07 20:49:25.0  NOTE   12256 Protocols.h[132]             WS server started on 0.0.0.0:80 (TCP)
30/07 20:49:25.0  NOTE   12256 Protocols.h[132]             HTTPS server started on 0.0.0.0:443 (TCP)
30/07 20:49:25.0  NOTE   12256 Protocols.h[132]             WSS server started on 0.0.0.0:443 (TCP)
30/07 20:49:27.0  INFO   12256 Server.cpp[175]              Server memory release
30/07 20:49:27.0  NOTE   12256 Server.cpp[179]              Server stopped
30/07 20:49:43.7  INFO   10480 Application.cpp[130]         MonaTiny v1.265
30/07 20:49:43.8  NOTE   1136 Protocols.h[132]              RTMFP server started on 0.0.0.0:1935 (UDP)
30/07 20:49:43.8  NOTE   1136 Protocols.h[132]              RTMP server started on 0.0.0.0:1935 (TCP)
30/07 20:49:43.8  NOTE   1136 Protocols.h[132]              HTTP server started on 0.0.0.0:80 (TCP)
30/07 20:49:43.8  NOTE   1136 Protocols.h[132]              WS server started on 0.0.0.0:80 (TCP)
30/07 20:49:43.8  NOTE   1136 Protocols.h[132]              HTTPS server started on 0.0.0.0:443 (TCP)
30/07 20:49:43.8  NOTE   1136 Protocols.h[132]              WSS server started on 0.0.0.0:443 (TCP)
30/07 20:49:47.3  INFO   1136 Server.cpp[175]               Server memory release
30/07 20:49:47.3  NOTE   1136 Server.cpp[179]               Server stopped
30/07 20:51:55.1  INFO   11256 Application.cpp[130]         MonaTiny v1.265
30/07 20:51:55.2  NOTE   2596 Protocols.h[132]              RTMFP server started on 0.0.0.0:1935 (UDP)
30/07 20:51:55.2  NOTE   2596 Protocols.h[132]              RTMP server started on 0.0.0.0:1935 (TCP)
30/07 20:51:55.2  NOTE   2596 Protocols.h[132]              HTTP server started on 0.0.0.0:80 (TCP)
30/07 20:51:55.2  NOTE   2596 Protocols.h[132]              WS server started on 0.0.0.0:80 (TCP)
30/07 20:51:55.2  NOTE   2596 Protocols.h[132]              HTTPS server started on 0.0.0.0:443 (TCP)
30/07 20:51:55.2  NOTE   2596 Protocols.h[132]              WSS server started on 0.0.0.0:443 (TCP)
30/07 20:52:25.1  INFO   6424 Application.cpp[130]          MonaTiny v1.265
30/07 20:52:25.2  NOTE   2712 Protocols.h[132]              RTMFP server started on 0.0.0.0:1935 (UDP)
30/07 20:52:25.2  NOTE   2712 Protocols.h[132]              RTMP server started on 0.0.0.0:1935 (TCP)
30/07 20:52:25.2  NOTE   2712 Protocols.h[132]              HTTP server started on 0.0.0.0:80 (TCP)
30/07 20:52:25.2  NOTE   2712 Protocols.h[132]              WS server started on 0.0.0.0:80 (TCP)
30/07 20:52:25.2  NOTE   2712 Protocols.h[132]              HTTPS server started on 0.0.0.0:443 (TCP)
30/07 20:52:25.2  NOTE   2712 Protocols.h[132]              WSS server started on 0.0.0.0:443 (TCP)
30/07 20:52:27.1  INFO   2712 Server.cpp[175]               Server memory release
30/07 20:52:27.1  NOTE   2712 Server.cpp[179]               Server stopped
30/07 20:54:38.9  INFO   5100 Application.cpp[130]          MonaTiny v1.265
30/07 20:54:39.0  NOTE   6528 Protocols.h[132]              RTMFP server started on 0.0.0.0:1935 (UDP)
30/07 20:54:39.0  NOTE   6528 Protocols.h[132]              RTMP server started on 0.0.0.0:1935 (TCP)
30/07 20:54:39.0  NOTE   6528 Protocols.h[132]              HTTP server started on 0.0.0.0:80 (TCP)
30/07 20:54:39.0  NOTE   6528 Protocols.h[132]              WS server started on 0.0.0.0:80 (TCP)
30/07 20:54:39.0  NOTE   6528 Protocols.h[132]              HTTPS server started on 0.0.0.0:443 (TCP)
30/07 20:54:39.0  NOTE   6528 Protocols.h[132]              WSS server started on 0.0.0.0:443 (TCP)
30/07 20:59:43.8  ERROR  6528 FlashMainStream.cpp[149]      Method client getStreamLength not found in application /live
30/07 20:59:43.8  INFO   6528 MonaTiny.cpp[178]             RTMP 127.0.0.1:60789 subscribe to stream
30/07 20:59:43.8  INFO   6528 FlashStream.cpp[130]          setBufferTime 3000ms on stream stream
30/07 20:59:45.1  INFO   6528 Server.cpp[124]               1 clients
30/07 21:02:31.3  ERROR  6528 FlashMainStream.cpp[149]      Method client releaseStream not found in application /live
30/07 21:02:31.3  ERROR  6528 FlashMainStream.cpp[149]      Method client FCPublish not found in application /live
30/07 21:02:31.3  NOTE   6528 MonaTiny.cpp[157]             Client publish stream
30/07 21:02:31.3  INFO   6528 Publication.cpp[105]          Publication stream started
30/07 21:02:31.3  INFO   6528 Publication.cpp[378]          Write stream publication properties {1.2.1: false, 1.3.1: false, 1.4.0: false, 1.4.1: false, 1.5.1: false, 1.7.1: false, 1.audiochannels: 2, 1.audiocodecid: mp4a, 1.audiodatarate: 160, 1.audiosamplerate: 44100, 1.audiosamplesize: 16, 1.duration: 0, 1.encoder: streamlabs-obs output module (libobs version 25.20.9), 1.fileSize: 0, 1.framerate: 60, 1.height: 720, 1.stereo: true, 1.videocodecid: avc1, 1.videodatarate: 6000, 1.width: 1280}
30/07 21:02:31.3  INFO   6528 Subscription.cpp[321]         Properties sent to one stream subscription
30/07 21:02:33.1  WARN   6528 TCPSession.cpp[32]            RTMP session 1, Connection reseted (from=0.0.0.0:0, size=42, flags=0)
30/07 21:02:33.1  WARN   6528 TCPSession.cpp[32]            RTMP session 1, Connection aborted
30/07 21:02:33.1  INFO   6528 MonaTiny.cpp[191]             RTMP 127.0.0.1:60789 unsubscribe to stream
30/07 21:04:18.3  ERROR  6528 FlashMainStream.cpp[149]      Method client FCUnpublish not found in application /live
30/07 21:04:18.3  INFO   6528 Publication.cpp[160]          Publication stream stopped
30/07 21:04:18.3  NOTE   6528 MonaTiny.cpp[168]             Client unpublish stream
30/07 21:04:19.2  INFO   6528 Server.cpp[124]               0 clients
30/07 21:05:36.8  ERROR  6528 FlashMainStream.cpp[149]      Method client getStreamLength not found in application /live
30/07 21:05:36.8  INFO   6528 MonaTiny.cpp[178]             RTMP 127.0.0.1:60956 subscribe to stream
30/07 21:05:36.8  INFO   6528 FlashStream.cpp[130]          setBufferTime 3000ms on stream stream
30/07 21:05:37.2  INFO   6528 Server.cpp[124]               1 clients
30/07 21:05:43.5  ERROR  6528 FlashMainStream.cpp[149]      Method client releaseStream not found in application /live
30/07 21:05:43.5  ERROR  6528 FlashMainStream.cpp[149]      Method client FCPublish not found in application /live
30/07 21:05:43.5  NOTE   6528 MonaTiny.cpp[157]             Client publish stream
30/07 21:05:43.5  INFO   6528 Publication.cpp[105]          Publication stream started
30/07 21:05:43.5  INFO   6528 Publication.cpp[378]          Write stream publication properties {1.2.1: false, 1.3.1: false, 1.4.0: false, 1.4.1: false, 1.5.1: false, 1.7.1: false, 1.audiochannels: 2, 1.audiocodecid: mp4a, 1.audiodatarate: 160, 1.audiosamplerate: 44100, 1.audiosamplesize: 16, 1.duration: 0, 1.encoder: streamlabs-obs output module (libobs version 25.20.9), 1.fileSize: 0, 1.framerate: 60, 1.height: 720, 1.stereo: true, 1.videocodecid: avc1, 1.videodatarate: 6000, 1.width: 1280}
30/07 21:05:43.5  INFO   6528 Subscription.cpp[321]         Properties sent to one stream subscription
30/07 21:05:45.2  INFO   6528 Server.cpp[124]               2 clients
30/07 21:08:44.8  ERROR  6528 FlashMainStream.cpp[149]      Method client FCUnpublish not found in application /live
30/07 21:08:44.8  INFO   6528 Publication.cpp[160]          Publication stream stopped
30/07 21:08:44.8  NOTE   6528 MonaTiny.cpp[168]             Client unpublish stream
30/07 21:08:45.2  INFO   6528 Server.cpp[124]               1 clients
30/07 21:08:48.6  WARN   6528 TCPSession.cpp[32]            RTMP session 1, Connection reseted (from=0.0.0.0:0, size=2048, flags=0)
30/07 21:08:48.6  WARN   6528 TCPSession.cpp[32]            RTMP session 1, Connection aborted
30/07 21:08:48.6  INFO   6528 MonaTiny.cpp[191]             RTMP 127.0.0.1:60956 unsubscribe to stream
30/07 21:08:49.2  INFO   6528 Server.cpp[124]               0 clients
30/07 21:09:49.4  INFO   6528 Server.cpp[175]               Server memory release
30/07 21:09:49.4  NOTE   6528 Server.cpp[179]               Server stopped
30/07 21:11:31.4  INFO   3592 Application.cpp[130]          MonaTiny v1.265
30/07 21:11:31.5  NOTE   13240 Protocols.h[132]             RTMFP server started on 0.0.0.0:1935 (UDP)
30/07 21:11:31.5  NOTE   13240 Protocols.h[132]             RTMP server started on 0.0.0.0:1935 (TCP)
30/07 21:11:31.5  NOTE   13240 Protocols.h[132]             HTTP server started on 0.0.0.0:80 (TCP)
30/07 21:11:31.5  NOTE   13240 Protocols.h[132]             WS server started on 0.0.0.0:80 (TCP)
30/07 21:11:31.5  NOTE   13240 Protocols.h[132]             HTTPS server started on 0.0.0.0:443 (TCP)
30/07 21:11:31.5  NOTE   13240 Protocols.h[132]             WSS server started on 0.0.0.0:443 (TCP)
30/07 21:11:40.7  ERROR  13240 FlashMainStream.cpp[149]     Method client getStreamLength not found in application /live
30/07 21:11:40.7  INFO   13240 MonaTiny.cpp[178]            RTMP 127.0.0.1:61051 subscribe to stream
30/07 21:11:40.7  INFO   13240 FlashStream.cpp[130]         setBufferTime 3000ms on stream stream
30/07 21:11:41.5  INFO   13240 Server.cpp[124]              1 clients
30/07 21:11:44.2  INFO   13240 MonaTiny.cpp[191]            RTMP 127.0.0.1:61051 unsubscribe to stream
